"","genus_species","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","x","y","domestication","status","clade"
"6321","Taphozous hildegardeae",451724,"Emballonuridae","Chiroptera",29.6,1,"Yes",-4.616667,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.6661238563323,-3.66884015003935,"Wild","","Laurasiatheria"
"6322","Taphozous hilli",514605,"Emballonuridae","Chiroptera",22,1,"Yes",-24.064774,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.095857086229,-24.1300262994712,"Wild","","Laurasiatheria"
"6323","Taphozous kapalgensis",3613555,"Emballonuridae","Chiroptera",26,1,"Yes",-12.583333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.392751740449,-13.4157990774189,"Wild","","Laurasiatheria"
"6324","Taphozous longimanus",432535,"Emballonuridae","Chiroptera",26.92,1,"Yes",3.55,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,3.00045740230187,"Wild","","Laurasiatheria"
"6325","Taphozous longmanus",7656304,"Emballonuridae","Chiroptera",NA,NA,"Yes",19.766667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,19,"Wild","","Laurasiatheria"
"6326","Taphozous mauritianus",879091,"Emballonuridae","Chiroptera",27.35,1,"Yes",-3.322222,"Least Concern","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7879009550233,-4.37475843515095,"Wild","","Laurasiatheria"
"6327","Taphozous melanopogon",1011486,"Emballonuridae","Chiroptera",25.94,1,"Yes",10.63291,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.183246107653,11.0631735375813,"Wild","","Laurasiatheria"
"6328","Taphozous nudiventris",75194,"Emballonuridae","Chiroptera",30.07,1,"Yes",30.045556,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.4952491553541,20.5104007731477,"Wild","","Laurasiatheria"
"6329","Taphozous perforatus",3613554,"Emballonuridae","Chiroptera",27.33,1,"Yes",11.5186,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.600880466366733,6.20359972461023,"Wild","","Laurasiatheria"
"6330","Taphozous theobaldi",3613551,"Emballonuridae","Chiroptera",39.8,1,"Yes",18.1483,"Least Concern","food_human","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.9999999999997,15.0023386074296,"Wild","","Laurasiatheria"
"6331","Taphozous troughtoni",3613557,"Emballonuridae","Chiroptera",26.96,0,"Yes",-20.889888,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.329063164533,-22.1176782524872,"Wild","","Laurasiatheria"
"6332","Tapirus bairdii",9419,"Tapiridae","Perissodactyla",299999.13,1,"Yes",NA,"Endangered","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"6333","Tapirus indicus",93318,"Tapiridae","Perissodactyla",296250,1,"Yes",NA,"Endangered","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"6334","Tapirus kabomani",4942721,"Tapiridae","Perissodactyla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"6335","Tapirus peruvianus",7656911,"Tapiridae","Perissodactyla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"6336","Tapirus pinchaque",1011998,"Tapiridae","Perissodactyla",148949.83,1,"Yes",2.220944,"Endangered","food_human","handicrafts_jewellery","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.7980914019135,1.60756643546913,"Wild","","Laurasiatheria"
"6337","Tapirus robustus",7656912,"Tapiridae","Perissodactyla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"6338","Tarsipes rostratus",901943,"Tarsipedidae","Diprotodontia",9,1,"Yes",-33.475,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.03311054821,-32.8339948285069,"Wild","","Marsupials & monotremes"
"6339","Tarsius dentatus",712758,"Tarsiidae","Primates",110.42,1,"Yes",NA,"Vulnerable","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"6340","Tarsius fuscus",5925595,"Tarsiidae","Primates",NA,NA,"Yes",-5.33362,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,-5,"Wild","","Euarchontoglires"
"6341","Tarsius lariang",318683,"Tarsiidae","Primates",NA,NA,"Yes",NA,"Data Deficient","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"6342","Tarsius pelengensis",3607736,"Tarsiidae","Primates",165,1,"Yes",-1.4,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,-1,"Wild","","Euarchontoglires"
"6343","Tarsius pumilus",3607739,"Tarsiidae","Primates",27.5,1,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"6344","Tarsius sangirensis",49187,"Tarsiidae","Primates",165,1,"Yes",3.575814,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,3,"Wild","","Euarchontoglires"
