species,median_lat
Cebus versicolor,7.001096
Cebus yuracus,0.47677
Centronycteris centralis,10.4314
Centronycteris maximiliani,4.81
Cephalophus adersi,-3.6167
Cephalophus brookei,7.9
Cephalophus callipygus,1.25
Cephalophus dorsalis,5.3129665
Cephalophus jentinki,5.370203500000001
Cephalophus leucogaster,3.8
Cephalophus lugens,-8
Cephalophus natalensis,-28.227615
Cephalophus niger,6.22
Cephalophus nigrifrons,-5.375
Cephalophus ogilbyi,5.352141
Cephalophus rufilatus,11.068933
Cephalophus silvicultor,-4.629910000000001
Cephalophus spadix,-4.661564
Cephalophus weynsi,-0.3742
Cephalophus zebra,5.369684
Cephalorhynchus commersonii,-53.169998
Cephalorhynchus eutropia,-42.620758
Cephalorhynchus heavisidii,-22.876612
Cephalotropis coronatus,38.4883325
Ceratotherium neumayri,38.023
Cercartetus concinnus,-34.45167
Cercartetus lepidus,-35.8975
Cercartetus nanus,-34.090267
Cercocebus agilis,1.401109
Cercocebus chrysogaster,-4.73565
Cercocebus galeritus,-1.8772319999999998
Cercocebus sanjei,-7.743651
Cercopithecus buettikoferi,7.1667
Cercopithecus denti,1.2833
Cercopithecus diana,5.5033674999999995
Cercopithecus dryas,-2.06203
Cercopithecus grayi,6
Cercopithecus leucampyx,-10
Cercopithecus lomamiensis,-1.0440399999999999
Cercopithecus lowei,6.08
Cercopithecus neglectus,1.008329
Cercopithecus nigripes,-1.5833
Cercopithecus opisthostictus,-9
Cercopithecus roloway,6.067
Cercopithecus sclateri,6.3167
Cerdocyon thous,-16.503965
Cerradomys goytaca,-21.90205
Cerradomys langguthi,-6.8750015
Cerradomys maracajuensis,-13.066667
Cerradomys scotti,-15.783334
Cerradomys subflavus,-17.233333
Cerradomys vivoi,-14.83335
Cervus cashmirianus,40
Cervus elaphoides,49.05
Cervus thoroldi,31.6667
Cetotherium gastaldii,44.904583
Cetotherium moreni,-44.462770500000005
Cetotherium rathkii,45.189887999999996
Cetotherium riabinini,46.974998
Chaerephon aloysiisabaudiae,6.725
Chaerephon ansorgei,-5.01125
Chaerephon atsinanana,-18.9603915
Chaerephon bemmeleni,6.7381
Chaerephon bivittatus,-0.23
Chaerephon bregullae,-16.753357
Chaerephon chapini,-12.60032
Chaerephon jobensis,-16.723888000000002
Chaerephon jobimena,-12.93871
Chaerephon johorensis,5.815
Chaerephon leucogaster,-16.116017
Chaerephon major,9.239999999999998
Chaerephon nigeriae,-13.55
Chaerephon plicatus,11.56516
Chaerephon pusillus,-1.533333
Chaerephon russatus,2.7096555
Chaerephon shortridgei,-19.08
Chaerephon solomonis,-8.261932
Chaerephon tomensis,0.291418
Chaetodipus artus,25.268663672258462
Chaetodipus baileyi,31.829213
Chaetodipus californicus,35.32822422751399
Chaetodipus dalquesti,23.717204
Chaetodipus eremicus,30
Chaetodipus formosus,36.08068200619574
Chaetodipus goldmani,26.913889
Chaetodipus hispidus,34.56041
Chaetodipus intermedius,32.52875822364569
Chaetodipus lineatus,22.548611
Chaetodipus nelsoni,24.32267660178683
Chaetodipus penicillatus,31.8727
Chaetodipus pernix,25.06840828379973
Chaetodipus rudinoris,29.4
Chaetodipus spinatus,26.4828
Chaetomys subspinosus,-19.935556
Chaetophractus nationi,-16.65
Chaetophractus vellerosus,-25.795455
Chaetophractus villosus,-37.490813
Chalinolobus dwyeri,-32.376399
Chalinolobus gouldii,-33.389184
Chalinolobus morio,-35.194927
Chalinolobus nigrogriseus,-17.680278
Chalinolobus picatus,-31.403031
Chalinolobus tuberculatus,-38.963376
Cheirogaleus crossleyi,-18.927589
Cheirogaleus major,-18.93
Cheirogaleus medius,-19.9667
Cheirogaleus minusculus,-20
Cheirogaleus sibreei,-18.9167
Cheirogaleus thomasi,-24.5833
Cheiromeles parvidens,13.048944500000001
Cheiromeles torquatus,2.495513
Chelemys macronyx,-45.52
Chelemys megalonyx,-32.9416675
Cheracebus lucifer,-3.721448
Cheracebus lugens,2.647969
Cheracebus medemi,0.466667
Cheracebus torquatus,2.62
Chibchanomys orcesi,-2.8333
Chibchanomys trichotis,4.5706225
Chilomys instans,4.5910554999999995
Chilonatalus macer,21.51667
Chilonatalus micropus,18.151671
Chilonatalus tumidifrons,25.17
Chimarrogale himalayica,24.02
Chimarrogale phaeura,6.08333
Chimarrogale platycephalus,34.57611
Chinchilla chinchilla,-24.466667
Chinchilla lanigera,34.443194500000004
Chinchillula sahamae,-14.916666
Chionomys gud,42.25
Chionomys layi,32.351299
Chiroderma doriae,-22.38
Chiroderma improvisum,16.740601
Chiroderma salvini,16.388889
Chiroderma trinitatum,4.33
Chiroderma villosum,5.3
Chiromyscus chiropus,11.5
Chironax melanocephalus,1.6948765
Chironectes argyrodytes,13.766667
Chironectes minimus,6.56
Chiropodomys calamianensis,9.7333
Chiropodomys gliroides,3.23
Chiropodomys major,6
Chiropodomys pusillus,6.0801
Chiropotes albinasus,-9.17
Chiropotes satanas,3.116667
Chiropotes utahickae,-6.167982
Chiruromys lamia,-9.7983335
Chiruromys vates,-10.4971
Chlamyphorus truncatus,-34.5
Chlorocebus cynosuros,-14.8746335
Chlorocebus djamdjamensis,6.733706
Chlorocebus sabaeus,13.427358
Chlorotalpa duthieae,-34.049842999999996
Chodsigoa hypsibia,33.941128500000005
Chodsigoa lamula,34.583332
Chodsigoa parca,28.1
Chodsigoa salenskii,29.996
Chodsigoa smithii,29.317493
Chodsigoa sodalis,23.511294499999998
Choeroniscus godmani,16.194528
Choeroniscus minor,5.3
Choeroniscus periosus,5.667778
Choeronycteris mexicana,24.101111
Choloepus didactylus,0.997129
Choloepus hoffmanni,9.451725
Chonecetus sookensis,48.599998
Chrotogale owstoni,21.5602745
Chrotomys gonzalesi,13.6667
Chrotomys mindorensis,13.34542
Chrotomys sibuyanensis,12.4332
Chrotomys silaceus,17.017269
Chrotomys whiteheadi,6.0801
Chrotopterus auritus,4.666667
Chrysochloris asiatica,-33.93812
Chrysochloris stuhlmanni,-1.413056
Chrysocyon brachyurus,-25.12617
Chrysospalax trevelyani,-32.825
Chrysospalax villosus,-29.28
