"","genus_species","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","x","y","domestication","status","clade","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","logh1","logmass","iucn_bin","humanuse_bin","domestication_bin","sum_gtrends","log_sumgtrends","h_conserv","logh1_conserv","gtrends_bin"
"46","Aconaemys fuscus",620800,"Octodontidae","Rodentia",133.5,1,"Yes",-40.294145,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.9858461207622,-39.0495575070798,"Wild","","Euarchontoglires","fuscus","Aconaemys",3,29,3,3,0,20,3,0.15,1,0,0.602059991327962,2.12548126570059,1,0,3,0,0,0,0,0
"47","Aconaemys porteri",867368,"Octodontidae","Rodentia",113.5,0,"Yes",-40.82,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.6601228802953,-39.6935721943811,"Wild","","Euarchontoglires","porteri","Aconaemys",2,4,2,2,0,19,1,0.053,0,1,0.301029995663981,2.05499586152914,NA,0,3,0,0,0,0,0
"48","Aconaemys sagei",867373,"Octodontidae","Rodentia",96.5,1,"Yes",-38.016666,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.3272977322962,-38.3583278219829,"Wild","","Euarchontoglires","sagei","Aconaemys",1,3,1,1,0,19,1,0.053,0,0,0.301029995663981,1.98452731334379,NA,0,3,0,0,0,0,0
"49","Acrobates pulchellus",7657182,"Acrobatidae","Diprotodontia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Marsupials & monotremes","pulchellus","Acrobates",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"50","Acrobates pygmaeus",432839,"Acrobatidae","Diprotodontia",12,1,"Yes",-33.348,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.696154573057,-31.907558743051,"Wild","","Marsupials & monotremes","pygmaeus","Acrobates",50,1327,24,48,1,43,24,0.558,35,2,1.39794000867204,1.07918124604762,1,0,3,367,2.56584781867352,3,0.602059991327962,1
"51","Adaetontherium incognitum",7655718,"Suidae","Artiodactyla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","incognitum","Adaetontherium",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"52","Addax nasomaculatus",989805,"Bovidae","Artiodactyla",70000.32,1,"Yes",29.868026,"Critically Endangered","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,16.0100146374084,"Wild","","Laurasiatheria","nasomaculatus","Addax",56,470,39,55,0,44,12,0.273,15,4,1.11394335230684,4.84510002535592,4,1,3,517,2.71432975974523,7,0.903089986991944,1
"53","Aegialomys galapagoensis",509361,"Cricetidae","Rodentia",63.51,1,"Yes",-0.816667,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-91,-1,"Wild","","Euarchontoglires","galapagoensis","Aegialomys",4,17,4,4,0,10,2,0.2,1,1,0.477121254719662,NA,2,0,3,0,0,1,0.301029995663981,0
"54","Aegialomys xanthaeolus",282364,"Cricetidae","Rodentia",79.79,1,"Yes",-6.833333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-78.6566977490875,-6.37717362330414,"Wild","","Euarchontoglires","xanthaeolus","Aegialomys",4,70,4,4,0,15,3,0.2,3,2,0.602059991327962,NA,1,0,3,0,0,0,0,0
"55","Aelurodon francisci",7655927,"Canidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","francisci","Aelurodon",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"56","Aeorestes egregius",297963,"Vespertilionidae","Chiroptera",20,1,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","egregius","Aeorestes",3,13,3,3,0,9,2,0.222,0,1,0.477121254719662,NA,NA,0,3,0,0,1,0.301029995663981,0
"57","Aeorestes semotus",5839506,"Vespertilionidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","semotus","Aeorestes",1,13,1,1,0,4,1,0.25,1,1,0.301029995663981,NA,NA,0,3,0,0,0,0,0
"58","Aeorestes villosissimus",5839507,"Vespertilionidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","villosissimus","Aeorestes",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"59","Aepeomys lugens",783823,"Cricetidae","Rodentia",37,1,"Yes",8.62,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71,9,"Wild","","Euarchontoglires","lugens","Aepeomys",1,3,1,1,0,20,1,0.05,0,0,0.301029995663981,1.56820172406699,1,0,3,0,0,0,0,0
"60","Aepeomys reigi",3608226,"Cricetidae","Rodentia",37,0,"Yes",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","reigi","Aepeomys",1,19,1,1,0,6,1,0.167,1,0,0.301029995663981,1.56820172406699,2,0,3,0,0,0,0,0
"61","Aepyprymnus rufescens",34417,"Potoroidae","Diprotodontia",3250,1,"Yes",-28.7167,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.607502862424,-25.8939807544788,"Wild","","Marsupials & monotremes","rufescens","Aepyprymnus",40,1226,28,38,1,46,15,0.326,25,3,1.20411998265592,3.51188336097887,1,0,3,0,0,4,0.698970004336019,0
"62","Aeretes melanopterus",675191,"Sciuridae","Rodentia",753.23,2,"Yes",26.430682,"Near Threatened","food_human","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.999999999999,23.0037047626266,"Wild","","Euarchontoglires","melanopterus","Aeretes",1,6,1,1,0,14,1,0.071,0,0,0.301029995663981,2.87692760897473,NA,1,3,0,0,0,0,0
"63","Aeromys tephromelas",675194,"Sciuridae","Rodentia",1075,1,"Yes",3.505,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,3.00045740230187,"Wild","","Euarchontoglires","tephromelas","Aeromys",1,3,1,1,0,50,1,0.02,0,0,0.301029995663981,3.03140846425162,NA,0,3,0,0,0,0,0
"64","Aeromys thomasi",3609018,"Sciuridae","Rodentia",1435,1,"Yes",5.343469,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.665850621697,5.66996720456175,"Wild","","Euarchontoglires","thomasi","Aeromys",1,6,1,1,0,15,1,0.067,0,0,0.301029995663981,3.15685190107001,1,0,3,0,0,0,0,0
"65","Aethalops aequalis",308607,"Pteropodidae","Chiroptera",15,0,"Yes",4.038422,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,5,"Wild","","Laurasiatheria","aequalis","Aethalops",1,10,1,1,0,28,1,0.036,1,0,0.301029995663981,1.17609125905568,1,0,3,0,0,0,0,0
"66","Aethalops alecto",37731,"Pteropodidae","Chiroptera",15,1,"Yes",2.85,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.667209035396,4.33563706315321,"Wild","","Laurasiatheria","alecto","Aethalops",4,63,3,4,0,32,3,0.094,3,0,0.602059991327962,1.17609125905568,1,0,3,0,0,0,0,0
