"","species","family","order","id","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","domestication","status","x","y"
"72","Aeromys tephromelas","Sciuridae","Rodentia",675194,1075,1,"Yes",3.505,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",101,3.00045740230187
"73","Aeromys thomasi","Sciuridae","Rodentia",3609018,1435,1,"Yes",5.343469,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",117.665850621697,5.66996720456175
"74","Aethalops aequalis","Pteropodidae","Chiroptera",308607,15,0,"Yes",4.038422,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",115,5
"75","Aethalops alecto","Pteropodidae","Chiroptera",37731,15,1,"Yes",2.85,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",101.667209035396,4.33563706315321
"76","Aethomys bocagei","Muridae","Rodentia",3608715,79.89,2,"Yes",-9.875,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",14.2724097175001,-9.03164365549672
"77","Aethomys chrysophilus","Muridae","Rodentia",911457,74.85,1,"Yes",-22.4167,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",30.8902927277363,-20.585708175387
"78","Aethomys hindei","Muridae","Rodentia",3608711,103.5,1,"Yes",3.1333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",32.9984745487729,1.50292101514208
"79","Aethomys ineptus","Muridae","Rodentia",411031,133.16,1,"Yes",-23.9802165,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",30.7224617267428,-26.5165078426028
"80","Aethomys kaiseri","Muridae","Rodentia",649436,90,1,"Yes",-1.5667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",33.7358739997436,-1.42471256065716
"81","Aethomys nyikae","Muridae","Rodentia",3608710,77.01,1,"Yes",-10.72,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",35,-15.0210697853835
"82","Aethomys silindensis","Muridae","Rodentia",3608709,82.76,2,"Yes",-19.23,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",33,-19
"83","Aethomys stannarius","Muridae","Rodentia",3608717,82.9,2,"Yes",8.8166835,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",15,5.00076357997974
