"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5"
"81","Aethomys_nyikae","nyikae","Aethomys",3,50,3,3,0,55,3,0.055,2,0
"82","Aethomys_silindensis","silindensis","Aethomys",4,52,4,4,0,23,4,0.174,2,1
"83","Aethomys_stannarius","stannarius","Aethomys",1,7,1,1,0,16,1,0.062,0,0
"84","Aethomys_thomasi","thomasi","Aethomys",1,7,1,1,0,16,1,0.062,0,0
"85","Aetiocetus_cotylalveus","cotylalveus","Aetiocetus",1,7,1,1,0,45,1,0.022,0,0
"86","Aetiocetus_polydentatus","polydentatus","Aetiocetus",1,75,1,1,0,27,1,0.037,1,0
"87","Aetiocetus_weltoni","weltoni","Aetiocetus",2,120,2,2,0,27,2,0.074,2,0
"88","Afrochoerus_nicoli","nicoli","Afrochoerus",0,0,0,0,0,NA,0,0,0,0
"89","Aglaocetus_patulus","patulus","Aglaocetus",0,0,0,0,0,NA,0,0,0,0
"90","Ailurops_furvus","furvus","Ailurops",0,0,0,0,0,NA,0,0,0,0
"91","Ailurops_melanotis","melanotis","Ailurops",2,2,1,2,0,2,1,0.5,0,1
"92","Ailurops_ursinus","ursinus","Ailurops",10,112,7,10,0,27,6,0.222,6,2
"93","Ailurus_ochraceus","ochraceus","Ailurus",0,0,0,0,0,NA,0,0,0,0
"94","Akodon_aerosus","aerosus","Akodon",4,41,4,4,0,8,4,0.5,2,0
"95","Akodon_affinis","affinis","Akodon",2,1,2,2,0,7,1,0.143,0,1
"96","Akodon_albiventer","albiventer","Akodon",3,30,3,3,0,19,2,0.105,2,0
"97","Akodon_arviculoides","arviculoides","Akodon",14,284,9,14,0,56,9,0.161,9,0
"98","Akodon_baliolus","baliolus","Akodon",1,14,1,1,0,10,1,0.1,1,0
"99","Akodon_boliviensis","boliviensis","Akodon",16,195,14,15,0,31,7,0.226,4,1
"100","Akodon_budini","budini","Akodon",4,10,4,4,0,5,2,0.4,0,2
"101","Akodon_caenosus","caenosus","Akodon",4,68,4,4,0,16,3,0.188,3,0
"102","Akodon_cursor","cursor","Akodon",68,1259,43,66,2,35,22,0.629,37,3
"103","Akodon_dayi","dayi","Akodon",2,19,2,2,0,13,1,0.077,1,0
"104","Akodon_dolores","dolores","Akodon",22,258,20,21,0,45,9,0.2,8,1
"105","Akodon_fumeus","fumeus","Akodon",1,6,1,1,0,19,1,0.053,0,0
"106","Akodon_glaucinus","glaucinus","Akodon",0,0,0,0,0,NA,0,0,0,0
"107","Akodon_josemariarguedasi","josemariarguedasi","Akodon",0,0,0,0,0,NA,0,0,0,0
"108","Akodon_juninensis","juninensis","Akodon",0,0,0,0,0,NA,0,0,0,0
"109","Akodon_kofordi","kofordi","Akodon",0,0,0,0,0,NA,0,0,0,0
"110","Akodon_kotosh","kotosh","Akodon",2,0,2,2,0,1,0,0,0,0
"111","Akodon_latebricola","latebricola","Akodon",2,15,2,2,0,8,1,0.125,1,0
"112","Akodon_lindberghi","lindberghi","Akodon",11,207,10,10,1,31,8,0.258,6,0
"113","Akodon_mimus","mimus","Akodon",1,6,1,1,0,19,1,0.053,0,0
"114","Akodon_molinae","molinae","Akodon",41,593,31,41,0,52,13,0.25,21,0
"115","Akodon_montensis","montensis","Akodon",103,1389,60,96,5,26,23,0.885,53,5
"116","Akodon_mystax","mystax","Akodon",2,50,2,1,1,20,2,0.1,1,0
"117","Akodon_neocenus","neocenus","Akodon",1,12,1,1,0,12,1,0.083,1,0
"118","Akodon_orophilus","orophilus","Akodon",7,88,6,7,0,15,5,0.333,3,0
"119","Akodon_paranaensis","paranaensis","Akodon",17,275,14,17,0,18,12,0.667,12,1
