"","Scientific","MSWFamilyLatin","BodyMass.Value","BodyMass.SpecLevel"
"420","Brachyteles arachnoides","Atelidae",13499.88,1
"421","Brachyteles hypoxanthus","Atelidae",13499.88,0
"422","Brachyuromys betsileoensis","Nesomyidae",92.5,1
"423","Brachyuromys ramirohitra","Nesomyidae",90,1
"424","Bradypus pygmaeus","Bradypodidae",4022.57,0
"425","Bradypus torquatus","Bradypodidae",3899.96,1
"426","Bradypus tridactylus","Bradypodidae",3849.99,1
"427","Bradypus variegatus","Bradypodidae",4335.01,1
"428","Brotomys contractus","Echimyidae",272.28,0
"429","Brotomys voratus","Echimyidae",272.28,0
"430","Brucepattersonius albinasus","Cricetidae",20,1
"431","Brucepattersonius griserufescens","Cricetidae",23.7,1
"432","Brucepattersonius guarani","Cricetidae",30.87,0
"433","Brucepattersonius igniventris","Cricetidae",32,1
"434","Brucepattersonius iheringi","Cricetidae",43,1
"435","Brucepattersonius misionensis","Cricetidae",43,1
"436","Brucepattersonius paradisus","Cricetidae",30.87,0
"437","Brucepattersonius soricinus","Cricetidae",30.87,0
"438","Bubalus bubalis","Bovidae",431250,1
"439","Bubalus depressicornis","Bovidae",3e+05,1
"440","Bubalus mindorensis","Bovidae",233333.33,1
"441","Bubalus quarlesi","Bovidae",150000,1
"442","Budorcas taxicolor","Bovidae",302000,1
"443","Bullimus bagobus","Muridae",432.5,1
"444","Bullimus gamay","Muridae",367.8,1
"445","Bullimus luzonicus","Muridae",445,1
"446","Bunolagus monticularis","Leporidae",1750.01,1
"447","Bunomys andrewsi","Muridae",125,1
"448","Bunomys chrysocomus","Muridae",116,1
"449","Bunomys coelestis","Muridae",120,1
"450","Bunomys fratrorum","Muridae",135,1
"451","Bunomys penitus","Muridae",170,1
"452","Bunomys prolatus","Muridae",131,1
"453","Bunopithecus hoolock","Hylobatidae",6699,1
"454","Burramys parvus","Burramyidae",41.5,1
"455","Cabassous centralis","Dasypodidae",3809.96,1
"456","Cabassous chacoensis","Dasypodidae",1490.01,1
"457","Cabassous tatouay","Dasypodidae",5349.95,1
"458","Cabassous unicinctus","Dasypodidae",4799.99,1
"459","Cacajao calvus","Pitheciidae",5796.02,1
"460","Cacajao melanocephalus","Pitheciidae",3100,1
"461","Caenolestes caniventer","Caenolestidae",40,1
"462","Caenolestes condorensis","Caenolestidae",47.81,1
"463","Caenolestes convelatus","Caenolestidae",40,1
"464","Caenolestes fuliginosus","Caenolestidae",27.8,1
"465","Calcochloris leucorhinus","Chrysochloridae",49.7,2
